source_id,date,source_title,source_url,source_type,geography,sector_segment,source_text,key_notes,added_by
S001,2026-05-15,"GFI State of the Industry Report - Plant-Based Meat","https://gfi.org/resource/plant-based-meat-eggs-and-dairy-state-of-the-industry-report/",market_report,US,plant_based_meat,"Plant-based meat retail dollar sales declined for the third consecutive year, while unit sales declined at a slower rate, suggesting price sensitivity rather than category abandonment. Plant-based dairy alternatives (milk) grew slightly.","Useful as a baseline market_demand source - shows segment divergence within plant-based broadly.",human
S002,2026-05-18,"Plant-based sales in the US continue to slide","https://www.foodbusinessnews.net/articles/30327-plant-based-sales-in-the-us-continue-to-slide",trade_press,US,alternative_protein_general,"GFI's 2026 State of the Industry Report (citing SPINS data) shows US plant-based segment dollar sales declined 2% from 2024 to 2025, the second consecutive year of decline, totaling $7.9B across meat, dairy, eggs, and other categories. Unit sales fell 3%. GFI attributes this to persistent price premiums over conventional proteins and ongoing taste gaps, despite steady household purchase rates.","Strong primary market_demand signal - two years of consecutive decline, but household purchase rates holding steady suggests stagnation rather than abandonment.",human
S003,2026-05-18,"Plant-based sales in the US continue to slide","https://www.foodbusinessnews.net/articles/30327-plant-based-sales-in-the-us-continue-to-slide",trade_press,US,plant_based_meat,"Within declining plant-based meat/seafood sales (down 10% dollar, 11% unit), shreds/chunks/strips formats grew 8% in unit sales, signaling manufacturer success in addressing previously underrepresented cut formats. Companies are also adding bold flavor profiles (Asian, Mexican, spicy) to drive interest.","Useful corporate_strategy signal - shows where manufacturers are finding growth within an otherwise declining category. Counters a purely negative narrative.",human
S004,2026-05-19,"US alt-meat slump continues but plant protein gains traction in beverages (GFI)","https://agfundernews.com/us-alt-meat-slump-continues-but-plant-protein-gains-traction-in-beverages-gfi",trade_press,US,alternative_protein_general,"Beyond Meat and other plant-based companies are expanding into the beverage/drink category as a growth avenue outside core meat alternatives.","Corporate_strategy signal - category diversification as a response to meat-alternative stagnation.",human
S005,2026-05-19,"US alt-meat slump continues but plant protein gains traction in beverages (GFI)","https://agfundernews.com/us-alt-meat-slump-continues-but-plant-protein-gains-traction-in-beverages-gfi",trade_press,global,alternative_protein_general,"Global investment in plant-based companies rose from $342M (2024) to $450M (2025), still far below 2020-2022 peaks ($1.5-3.6B). Europe outraised North America for the fourth consecutive year ($216M vs $181M), driven partly by European Investment Bank funding and government support. US public investment declined in 2025; the Trump administration cut new National Science Foundation grants by 25%. GFI predicts the US will lose its position as the world's largest R&D funder to China in 2026.","Strong investment_signal and policy_risk row - specific dollar figures, named mechanism (NSF grant cuts), comparative geography (EU vs US). One of the strongest sources so far for fellowship audience specifically.",human
S006,2026-05-18,"Plant-based sales in the US continue to slide","https://www.foodbusinessnews.net/articles/30327-plant-based-sales-in-the-us-continue-to-slide",trade_press,US,plant_based_dairy,"Plant-based milk was the largest plant-based segment in 2025, generating $2.7B and capturing 13% of total US retail milk sales. While overall plant-based milk dollar sales fell 2% from 2024, soy milk grew 4% and coconut milk grew 27%, indicating format-specific strength within an otherwise declining category.","Strong consumer_adoption signal - 13% category share is a meaningful adoption benchmark, and coconut milk's 27% growth is a notable sub-trend worth watching.",human
S007,2026-05-18,"Plant-based sales in the US continue to slide","https://www.foodbusinessnews.net/articles/30327-plant-based-sales-in-the-us-continue-to-slide",trade_press,US,alternative_protein_general,"GFI reports that the number of US households purchasing plant-based foods, and the percentage purchasing more than once, remained steady in 2025 according to SPINS data. Separately, GFI's 2025 consumer research found more than half of US adults find plant-based meat appealing and are at least somewhat likely to eat it.","Key consumer_adoption baseline stat - distinguishes between declining dollar sales and stable/resilient household-level interest. Important for avoiding an overly negative narrative.",human
S008,2026-05-18,"Plant-based sales in the US continue to slide","https://www.foodbusinessnews.net/articles/30327-plant-based-sales-in-the-us-continue-to-slide",trade_press,US,plant_based_meat,"GFI estimates that the average household purchasing plant-based meat and seafood bought it about once a month (11.7 units/year) in 2025. Doubling purchase frequency to twice a month among existing buyers could unlock approximately $1 billion in additional sales, suggesting near-term growth potential lies more in retention/frequency than new customer acquisition.","Strongest strategic_implication candidate so far - directly actionable for client_brief audience. Reframes the growth problem as a frequency/retention play rather than pure market expansion.",human
S009,2026-06-01,"Food Law in the States - 2026 Update (Alternative Proteins)","https://nationalaglawcenter.org/food-law-in-the-states-2026-update/",government_data,US,cultivated_meat,"South Dakota enacted a temporary ban (July 2026-June 2030) on selling or distributing any product containing cell-cultured protein. Mississippi enacted first-in-the-nation legislation banning cultivated dairy products specifically, with civil penalties up to $500/day per violation, effective July 2026. These represent the most restrictive category of state-level alternative protein legislation, going beyond labeling to outright prohibition.","Highest policy_risk signal in the dataset - actual sales bans, not just labeling. Mississippi's cultivated dairy ban is notable as first-in-nation for that specific subcategory.",human
S010,2026-06-01,"Food Law in the States - 2026 Update (Alternative Proteins)","https://nationalaglawcenter.org/food-law-in-the-states-2026-update/",government_data,US,alternative_protein_general,"Ohio (HB 10), Virginia, and Idaho (SB 1270) each enacted labeling requirements in 2026 for alternative protein products, requiring ""qualifying terms"" (e.g., ""plant-based,"" ""lab-grown,"" ""cell-cultured"") alongside any meat-evoking ""identifying terms"" on packaging. Idaho's law specifically bans cultivated meat from using traditional cut names like ""steak"" or ""brisket,"" though it does not ban use of the word ""meat"" itself. Ohio also directs public schools to avoid purchasing cell-cultured protein, though state universities may still purchase it for research.","Represents the more common and arguably more durable policy pattern - labeling/disclosure rather than prohibition. Multiple states acting in the same legislative cycle suggests a coordinated or trend-following pattern, not isolated incidents.",human
